epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4529.66,0.70281,0.69317,0.90175,0.94208,0.89689,0.96425,0.74723,0.78397,0.53242,0.88656,0.000155545,0.000155545,0.000155545
59,4608.48,0.7051,0.68797,0.90303,0.9317,0.89969,0.96285,0.74349,0.78506,0.53343,0.88785,0.000152011,0.000152011,0.000152011
60,4687.26,0.70019,0.68562,0.89961,0.93395,0.90922,0.96499,0.74662,0.78809,0.52753,0.8886,0.000148476,0.000148476,0.000148476
61,4765.44,0.69695,0.67952,0.90111,0.93558,0.90147,0.96398,0.74834,0.77466,0.52736,0.88627,0.000144942,0.000144942,0.000144942
62,4841.9,0.70339,0.68039,0.9026,0.94352,0.90495,0.96558,0.74606,0.79089,0.52427,0.88819,0.000141408,0.000141408,0.000141408
63,4919.51,0.70052,0.67953,0.90181,0.93649,0.9061,0.96514,0.7385,0.81041,0.53078,0.89633,0.000137873,0.000137873,0.000137873
64,4997.6,0.69452,0.6714,0.90022,0.93999,0.90332,0.96629,0.74667,0.78832,0.51916,0.88895,0.000134339,0.000134339,0.000134339
65,5075.44,0.69906,0.67366,0.90094,0.94561,0.90135,0.96624,0.73909,0.80393,0.52147,0.89508,0.000130805,0.000130805,0.000130805
66,5152.93,0.69606,0.6708,0.90062,0.93718,0.90865,0.96653,0.74404,0.7986,0.52021,0.89001,0.000127271,0.000127271,0.000127271
67,5231.12,0.69136,0.66682,0.90019,0.94066,0.91225,0.96815,0.74577,0.79433,0.5137,0.88987,0.000123736,0.000123736,0.000123736
68,5308.98,0.68908,0.65847,0.89911,0.93809,0.91268,0.9683,0.74856,0.79396,0.5109,0.88936,0.000120202,0.000120202,0.000120202
69,5386.91,0.68999,0.65751,0.89764,0.94477,0.90492,0.96863,0.73966,0.80723,0.5136,0.8951,0.000116668,0.000116668,0.000116668
70,5464.84,0.68818,0.65905,0.89852,0.94238,0.91391,0.96932,0.75033,0.79253,0.50835,0.88937,0.000113133,0.000113133,0.000113133
71,5542.21,0.68421,0.65307,0.89539,0.94956,0.90383,0.96866,0.74055,0.81069,0.5105,0.89599,0.000109599,0.000109599,0.000109599
72,5620.47,0.68915,0.65629,0.89851,0.94026,0.9076,0.96821,0.74696,0.79756,0.5116,0.89133,0.000106065,0.000106065,0.000106065
73,5698.76,0.68655,0.65387,0.89788,0.94269,0.90894,0.96907,0.74234,0.80843,0.51126,0.89429,0.00010253,0.00010253,0.00010253
74,5776.91,0.69249,0.6582,0.89821,0.94289,0.91031,0.96929,0.74723,0.80145,0.50724,0.89243,9.89961e-05,9.89961e-05,9.89961e-05
75,5854.67,0.68253,0.65033,0.89612,0.94056,0.91416,0.9693,0.74529,0.80022,0.50685,0.89234,9.54618e-05,9.54618e-05,9.54618e-05
76,5933.07,0.67978,0.64497,0.89486,0.94292,0.91236,0.96977,0.74246,0.81338,0.50779,0.89626,9.19275e-05,9.19275e-05,9.19275e-05
77,6011.53,0.68298,0.64356,0.89562,0.94368,0.91566,0.9702,0.75059,0.787,0.50136,0.88763,8.83932e-05,8.83932e-05,8.83932e-05
78,6089.76,0.68426,0.64419,0.89656,0.94987,0.90974,0.97057,0.73341,0.83046,0.50777,0.90241,8.48589e-05,8.48589e-05,8.48589e-05
79,6167.73,0.6813,0.64247,0.89528,0.94129,0.91799,0.96991,0.74231,0.80945,0.5044,0.8951,8.13246e-05,8.13246e-05,8.13246e-05
80,6245.37,0.68384,0.63926,0.89747,0.95028,0.91291,0.9703,0.75042,0.79241,0.49938,0.88945,7.77903e-05,7.77903e-05,7.77903e-05
81,6323.6,0.67952,0.6404,0.89575,0.94211,0.91867,0.97022,0.74324,0.80678,0.50128,0.89513,7.4256e-05,7.4256e-05,7.4256e-05
82,6401.8,0.6779,0.63683,0.8955,0.9418,0.91662,0.97007,0.74429,0.80745,0.50261,0.895,7.07217e-05,7.07217e-05,7.07217e-05
83,6479.87,0.67408,0.63148,0.89477,0.95011,0.91399,0.9708,0.75002,0.78764,0.49557,0.88935,6.71874e-05,6.71874e-05,6.71874e-05
84,6557.81,0.67656,0.63425,0.89354,0.94533,0.92216,0.97189,0.74368,0.80907,0.49666,0.8955,6.36531e-05,6.36531e-05,6.36531e-05
85,6636.03,0.67909,0.63689,0.8937,0.9416,0.92269,0.9712,0.74669,0.79844,0.49571,0.8921,6.01188e-05,6.01188e-05,6.01188e-05
86,6713.4,0.67744,0.63215,0.89321,0.94109,0.9204,0.97112,0.74158,0.81668,0.50018,0.89681,5.65845e-05,5.65845e-05,5.65845e-05
87,6791.7,0.67327,0.62913,0.89139,0.94642,0.91992,0.97164,0.7544,0.78396,0.49246,0.88694,5.30502e-05,5.30502e-05,5.30502e-05
88,6869.35,0.67054,0.62482,0.89314,0.94248,0.92261,0.97229,0.74869,0.79654,0.49402,0.8908,4.95159e-05,4.95159e-05,4.95159e-05
89,6946.74,0.67221,0.62751,0.89172,0.9456,0.91727,0.97197,0.7452,0.80745,0.4947,0.89504,4.59816e-05,4.59816e-05,4.59816e-05
90,7024.33,0.67517,0.62731,0.89212,0.95097,0.91573,0.9719,0.74715,0.80569,0.49205,0.89341,4.24473e-05,4.24473e-05,4.24473e-05
91,7104.36,0.60419,0.49228,0.87146,0.93602,0.92159,0.96991,0.74154,0.81207,0.50276,0.89741,3.8913e-05,3.8913e-05,3.8913e-05
92,7177.73,0.59595,0.48335,0.87063,0.94406,0.9183,0.97153,0.74902,0.7961,0.49616,0.89145,3.53787e-05,3.53787e-05,3.53787e-05
93,7251.2,0.59721,0.48255,0.87067,0.94114,0.92107,0.97158,0.74947,0.79446,0.49554,0.89113,3.18444e-05,3.18444e-05,3.18444e-05
94,7324.52,0.59645,0.47743,0.87009,0.94662,0.91792,0.97149,0.74743,0.80142,0.49521,0.89383,2.83101e-05,2.83101e-05,2.83101e-05
95,7398.15,0.59082,0.47291,0.8681,0.94462,0.92129,0.97158,0.75149,0.79065,0.49078,0.89046,2.47758e-05,2.47758e-05,2.47758e-05
96,7471.65,0.58967,0.47482,0.86767,0.94357,0.92109,0.97167,0.74889,0.79698,0.49229,0.89227,2.12415e-05,2.12415e-05,2.12415e-05
97,7545.32,0.58837,0.47101,0.86706,0.95196,0.91623,0.97268,0.74985,0.79583,0.48815,0.89253,1.77072e-05,1.77072e-05,1.77072e-05
98,7618.81,0.58645,0.46871,0.86734,0.94996,0.91691,0.97231,0.74905,0.79685,0.48912,0.89237,1.41729e-05,1.41729e-05,1.41729e-05
99,7691.95,0.58918,0.47039,0.86715,0.94794,0.91713,0.97236,0.74982,0.79641,0.48924,0.89195,1.06386e-05,1.06386e-05,1.06386e-05
100,7764.86,0.58609,0.46739,0.86712,0.94815,0.91867,0.97226,0.7505,0.79346,0.48898,0.89115,7.1043e-06,7.1043e-06,7.1043e-06
